Source,Target,Weight
@kaepernick7,@ellehcimecnesse,1
@kaepernick7,@amysuds,1
@kaepernick7,@nbcnewsthink,1
@kaepernick7,@nateboyer37,9
@kaepernick7,@muhammadali,1
@kaepernick7,@hillaryclinton,1
@kaepernick7,@shaunking,5
@kaepernick7,@tearsinheaven09,1
@kaepernick7,@pluckyq416,1
@kaepernick7,@sinbadbad,1
@kaepernick7,@donlemon,1
@kaepernick7,@thedailyshow,1
@kaepernick7,@maninthehoody,5
@kaepernick7,@joyannreid,4
@kaepernick7,@michaeledyson,3
@kaepernick7,@keithboykin,1
@kaepernick7,@aclu,1
@kaepernick7,@thenbpa,1
@kaepernick7,@jheil,1
@kaepernick7,@cbsnews,1
@kaepernick7,@atlantafalcons,3
@kaepernick7,@steelers,1
@kaepernick7,@mikefreemannfl,1
@kaepernick7,@ericeelk,1
@kaepernick7,@pattivasquezchi,1
@kaepernick7,@davechgo,1
@kaepernick7,@edeweysmith,2
@kaepernick7,@hohatl,3
@kaepernick7,@bishoppmorton,2
@kaepernick7,@cornellwbrooks,2
@kaepernick7,@jamalhbryant,2
@kaepernick7,@bishopmckjr,3
@kaepernick7,@rolandsmartin,5
@kaepernick7,@mattryanreal,1
@kaepernick7,@shelby5fam,1
@kaepernick7,@theview,1
@kaepernick7,@jemelehill,1
@kaepernick7,@stephenasmith,2
@kaepernick7,@thereval,4
@kaepernick7,@canballreport,1
@kaepernick7,@doitforthacult2,1
@kaepernick7,@itsafairday,1
@kaepernick7,@carmelsepuloni,1
@kaepernick7,@paulatesoriero,1
@kaepernick7,@relevant,1
@kaepernick7,@irie_evering,1
@kaepernick7,@esparks12345nc,1
@kaepernick7,@tranquilityhapp,1
@kaepernick7,@k3mp1999,1
@kaepernick7,@fbeverly7,1
@kaepernick7,@nikemexico,1
@kaepernick7,@brokemogul,1
@kaepernick7,@bet,1
@kaepernick7,@vcuarts,1
@kaepernick7,@missyelliott,3
@kaepernick7,@kevinhart4real,2
@kaepernick7,@rnrkentucky,1
@kaepernick7,@timkennedymma,1
@kaepernick7,@nikechicago,1
@kaepernick7,@houstontexans,1
@kaepernick7,@shaneclaiborne,1
@kaepernick7,@meekmill,2
@kaepernick7,@jeejuh,1
@kaepernick7,@chriskinard,1
@kaepernick7,@junksradio,1
@kaepernick7,@nbc,1
@kaepernick7,@rjclifestyle,1
@kaepernick7,@caesarsent,1
@kaepernick7,@savagepoker,1
@kaepernick7,@benerwinpoker,1
@kaepernick7,@tvpokerroom,1
@kaepernick7,@nytimes,1
@kaepernick7,@donlemon_cnn,1
@kaepernick7,@11thhour,1
@kaepernick7,@espn,1
@kaepernick7,@torontostar,1
@kaepernick7,@foxfriendsfirst,1
@kaepernick7,@lauraingle,1
@kaepernick7,@washingtonpost,1
@kaepernick7,@nikefootball,2
@kaepernick7,@trisresists,7
@kaepernick7,@theswprincess,15
@kaepernick7,@1jedi_rey,15
@kaepernick7,@natcookresists,12
@kaepernick7,@listentoezra,14
@kaepernick7,@gbmnyc,16
@kaepernick7,@havok_2o18,15
@kaepernick7,@malcolmjenkins,16
@kaepernick7,@kstills,16
@kaepernick7,@mosesbread72,16
@kaepernick7,@matthewwolfff,13
@kaepernick7,@jynerso_2017,13
@kaepernick7,@deadpoolresists,12
@kaepernick7,@debbiesideris,13
@kaepernick7,@trinityresists,12
@kaepernick7,@sabineresists,12
@kaepernick7,@minervasbard,12
@kaepernick7,@rebelscumpixie,12
@kaepernick7,@jedimasterdre,12
@kaepernick7,@b52malmet,10
@kaepernick7,@lady_star_gem,12
@kaepernick7,@jeffbfish,12
@kaepernick7,@jainaresists,12
@kaepernick7,@knot4sharing,12
@kaepernick7,@dangerusswilson,11
@kaepernick7,@earl_thomas,11
@kaepernick7,@tdlockett12,11
@kaepernick7,@topropetravis,8
@kaepernick7,@brandontxneely,8
@kaepernick7,@realtomsongs,8
@kaepernick7,@batmanresist,8
@kaepernick7,@captainslog2o18,8
@kaepernick7,@slythseeker,1
@kaepernick7,@naretevduorp,1
@kaepernick7,@augustus709,1
