Source,Target,Weight
#justdoit,#kamikaze,3
#justdoit,#predator,1
#justdoit,#jaguars,1
#justdoit,#giants,1
#justdoit,#jaguarstoday,1
#justdoit,#jaguarsvsgiants,1
#justdoit,#nflkickoff,75
#justdoit,#stopracism,2
#justdoit,#fucktrump,10
#justdoit,#nevergiveup,6
#justdoit,#keepgoing,3
#justdoit,#bestrong,1
#justdoit,#loveyou,1
#justdoit,#behappy,1
#justdoit,#happiness,3
#justdoit,#workout,11
#justdoit,#feelgood,2
#justdoit,#train,2
#justdoit,#training,3
#justdoit,#trainhard,2
#justdoit,#dailygrind,1
#justdoit,#fit,7
#justdoit,#fitnessmotivation,7
#justdoit,#fitat45,1
#justdoit,#fitover40,1
#justdoit,#fitforlife,1
#justdoit,#fitnessgirl,1
#justdoit,#fitmom,1
#justdoit,#getfit,9
#justdoit,#fitnessjourney,1
#justdoit,#fitnessgoals,1
#justdoit,#nikekapad,1
#justdoit,#memesfordays,1
#justdoit,#ybm,2
#justdoit,#dowhatmakesyouhappy,1
#justdoit,#anonymous,5
#justdoit,#kapernik,2
#justdoit,#imwithkaep,48
#justdoit,#thelifeeengineer,1
#justdoit,#investlikealady,1
#justdoit,#livelikeaboss,1
#justdoit,#nikes,13
#justdoit,#politics,4
#justdoit,#supportkaepernick,3
#justdoit,#supportveterans,1
#justdoit,#september18,1
#justdoit,#25thamemdmentnow,4
#justdoit,#trumpresign,8
#justdoit,#oreo,1
#justdoit,#oreomilkshake,1
#justdoit,#yummy,1
#justdoit,#myws,1
#justdoit,#winstonsalem,1
#justdoit,#clemmons,1
#justdoit,#bakedfromscratch,1
#justdoit,#mompreneur,1
#justdoit,#eat,2
#justdoit,#nikeforever,4
#justdoit,#takemymoney,1
#justdoit,#jusdweet,1
#justdoit,#money,3
#justdoit,#financialeducation,1
#justdoit,#moneymatters,1
#justdoit,#moneymaker,1
#justdoit,#empathy,1
#justdoit,#futuregoals,1
#justdoit,#howtomakethisyearawesome,1
#justdoit,#criticalthink,1
#justdoit,#reflection,1
#justdoit,#crazytown,1
#justdoit,#nuts,1
#justdoit,#kaepernicking,1
#justdoit,#igers,1
#justdoit,#explore,2
#justdoit,#porstudio,1
#justdoit,#trayvonmartin,2
#justdoit,#blm,6
#justdoit,#civilrights,3
#justdoit,#hoodiesup,1
#justdoit,#handsup,1
#justdoit,#icantbreath,1
#justdoit,#nationalanthem,11
#justdoit,#nflprotest,1
#justdoit,#imwithhim,5
#justdoit,#notabouttheflag,6
#justdoit,#thatswhatshesaid,1
#justdoit,#spiderman,2
#justdoit,#2kday,3
#justdoit,#falcons,11
#justdoit,#blackpink,2
#justdoit,#middayoasis,1
#justdoit,#theplacerestaurant,1
#justdoit,#transportation,1
#justdoit,#mhealth,1
#justdoit,#living,1
#justdoit,#whateverittakes,1
#justdoit,#outside,1
#justdoit,#pumpthejuice,1
#justdoit,#irewardhealth,1
#justdoit,#healthiswealth,1
#justdoit,#25amendmentnow,2
#justdoit,#vetskneelbecause,2
#justdoit,#vetsagainsttrump,4
#justdoit,#vetsresistsquadron,1
#justdoit,#veteransforkaepernick,6
#justdoit,#bottom,1
#justdoit,#dollar,1
#justdoit,#newlifeoakland,1
#justdoit,#dickinabox,3
#justdoit,#giftthatkeepsongiving,1
#justdoit,#saturdaynightlive,1
#justdoit,#dupealeru,1
#justdoit,#education,3
#justdoit,#author,1
#justdoit,#speaker,1
#justdoit,#internationalauthor,1
#justdoit,#eachoneteachone,2
#justdoit,#hflmag,1
#justdoit,#teachertips,1
#justdoit,#kapepernick,1
#justdoit,#wcmt,1
#justdoit,#travel,12
#justdoit,#suicideprevention,1
#justdoit,#adventure,4
#justdoit,#giveback,1
#justdoit,#fellowship,1
#justdoit,#study,1
#justdoit,#pottstown,1
#justdoit,#store168,1
#justdoit,#5yearanniversary,1
#justdoit,#weeklypress,1
#justdoit,#socialinjustices,1
#justdoit,#opinion,1
#justdoit,#easthants,1
#justdoit,#fallriverns,1
#justdoit,#chicago,6
#justdoit,#life,8
#justdoit,#lifstyle,1
#justdoit,#summer18,1
#justdoit,#trending,5
#justdoit,#complete,1
#justdoit,#revolution,1
#justdoit,#iphonex,1
#justdoit,#manualtransmission,1
#justdoit,#cause,2
#justdoit,#rebel,1
#justdoit,#sheready,1
#justdoit,#justlisten,2
#justdoit,#colinkapernick,12
#justdoit,#corybooker,6
#justdoit,#business,11
#justdoit,#agency,1
#justdoit,#consultant,1
#justdoit,#online,3
#justdoit,#creative,7
#justdoit,#townhall,1
#justdoit,#production,1
#justdoit,#mobile,1
#justdoit,#creativedirector,1
#justdoit,#producer,2
#justdoit,#usa,12
#justdoit,#entrepreneurship,5
#justdoit,#follow4follow,1
#justdoit,#agencylife,1
#justdoit,#govegan,1
#justdoit,#vegan,1
#justdoit,#plantbaseddiet,1
#justdoit,#plantbased,1
#justdoit,#vegansofig,1
#justdoit,#vegansofinstagram,1
#justdoit,#vegetable,1
#justdoit,#veggies,1
#justdoit,#meatless,1
#justdoit,#dairyfree,1
#justdoit,#healthy,3
#justdoit,#healthyeating,1
#justdoit,#cleaneating,1
#justdoit,#fat,1
#justdoit,#mistermetokur,1
#justdoit,#sacrificeeverything,6
#justdoit,#controversial,1
#justdoit,#nerdgirl,1
#justdoit,#evenasakid,1
#justdoit,#geoffreyowens,3
#justdoit,#showtime,2
#justdoit,#jacsdoit,1
#justdoit,#mumtopt,1
#justdoit,#ronswanson,1
#justdoit,#libertarian,2
#justdoit,#cleanslatecredit,1
#justdoit,#creditexpert,1
#justdoit,#creditrepair,1
#justdoit,#besmart,1
#justdoit,#votedem,1
#justdoit,#walkaway,20
#justdoit,#dems,3
#justdoit,#socialist,3
#justdoit,#libs,2
#justdoit,#economy,2
#justdoit,#jobs,1
#justdoit,#2a,4
#justdoit,#freespeech,4
#justdoit,#taxcutandjobsact,1
#justdoit,#stopkavanaugh,18
#justdoit,#call_202_224_3121,1
#justdoit,#junkinsurance,1
#justdoit,#preexistingconditions,1
#justdoit,#nikememesgonewild,1
#justdoit,#yallplaytoomuch,1
#justdoit,#burnbabyburn,1
#justdoit,#friskyfriday,1
#justdoit,#kcco,1
#justdoit,#spidermanpc,1
#justdoit,#supportnike,8
#justdoit,#graphicdesign,3
#justdoit,#marketingstrategy,2
#justdoit,#copywriting,1
#justdoit,#content,1
#justdoit,#digitalmarketing,3
#justdoit,#fintech,1
#justdoit,#blockchain,1
#justdoit,#traitor,3
#justdoit,#putin,1
#justdoit,#russia,2
#justdoit,#bluelivesmatter,2
#justdoit,#supportourtroops,2
#justdoit,#skateboarding,1
#justdoit,#noside,1
#justdoit,#haveyoutriedhim,1
#justdoit,#improvinglives,1
#justdoit,#getconnected,1
#justdoit,#party,1
#justdoit,#club,3
#justdoit,#hiphop,12
#justdoit,#reggae,1
#justdoit,#dancehall,1
#justdoit,#soca,1
#justdoit,#r,1
#justdoit,#partyvibes,1
#justdoit,#oshawa,1
#justdoit,#durhamregion,1
#justdoit,#dancemoves,1
#justdoit,#justsayno,2
#justdoit,#tcot,3
#justdoit,#tgdn,2
#justdoit,#pjnet,2
#justdoit,#daurionthebeat,1
#justdoit,#makeup,3
#justdoit,#confidential,1
#justdoit,#guts,1
#justdoit,#riskitall,1
#justdoit,#pixiecut,2
#justdoit,#thecutlife,2
#justdoit,#reached,1
#justdoit,#lifegoals,5
#justdoit,#justin,1
#justdoit,#boots,1
#justdoit,#converse,2
#justdoit,#bmjsports,1
#justdoit,#austin,1
#justdoit,#usopen,43
#justdoit,#beyonce,1
#justdoit,#texas,6
#justdoit,#houston,3
#justdoit,#heisman,1
#justdoit,#uofh,1
#justdoit,#edoliver,1
#justdoit,#arizona,1
#justdoit,#khaliltate,1
#justdoit,#25thamendmentnow,4
#justdoit,#walkawayfromrepublicans,1
#justdoit,#voteblue2018,6
#justdoit,#makeamericasaneagain,1
#justdoit,#allthesmoke,1
#justdoit,#justdoitmary,3
#justdoit,#teamcap,1
#justdoit,#liberal,1
#justdoit,#corruption,2
#justdoit,#supremecourt,2
#justdoit,#confirmationhearing,1
#justdoit,#democrats,5
#justdoit,#desperatestunts,1
#justdoit,#nikecommercial,15
#justdoit,#muslimwomen,1
#justdoit,#insideoutbasketball,1
#justdoit,#jrnba,1
#justdoit,#drdish,1
#justdoit,#mywhy,1
#justdoit,#differentthoughtprocess,1
#justdoit,#noregrets,3
#justdoit,#nbpa,3
#justdoit,#ashhole,3
#justdoit,#gilmorelife,1
#justdoit,#gilmoregirlsfornike,1
#justdoit,#ccot,3
#justdoit,#impeach,6
#justdoit,#liarinchief,2
#justdoit,#gioielliere,1
#justdoit,#top,1
#justdoit,#logo,1
